patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
355,9.731678,5.0268617,2.3311384,5.317716,5.0155015,5.1243877,3.9834611,6.6944275,4.5334373,6.968346,4.952781,5.7957873,4.553339,6.0012784,5.651555,5.671338
248,9.607432,5.2012744,2.6956434,4.836077,4.5493593,5.189655,4.0544496,6.801788,4.640207,6.636828,5.0884614,5.9689164,4.4835587,5.4166813,5.926583,5.442194
433,5.395795,4.5975194,2.2357736,5.063506,5.2907605,5.130971,4.9115314,4.726151,4.7790003,6.3250613,5.130052,6.499181,4.438137,5.2701197,4.8567734,4.6473513
172,5.1934514,4.6722646,2.1925182,4.75859,5.247627,5.157688,5.008688,4.749533,4.39747,6.1936812,5.171033,6.7597117,4.2120595,5.051419,4.717743,4.5826106
307,8.665117,4.727882,2.2823367,5.7917957,5.7493906,5.60531,4.3344574,5.7358956,4.049618,6.5296974,5.907579,5.9536576,4.586405,6.2891645,5.168918,5.1054854
512,5.1634064,4.7023497,2.1511903,4.9335856,5.393299,5.2040253,5.0705433,4.6739078,4.3488994,6.141936,5.238219,6.767215,4.245395,5.242903,4.6014905,4.5550094
199,5.6115203,4.6935797,2.3759227,4.7372804,4.729421,5.045772,4.932059,5.1191688,5.329324,6.493483,5.256888,5.994661,4.465188,5.2287846,5.3857965,4.5604234
631,9.249389,5.0542736,2.819807,5.150045,5.1163335,5.0473833,4.2252073,6.1154895,3.7170508,6.2744536,5.851129,6.01236,3.7064455,5.731474,5.612269,5.065763
654,8.733719,4.544795,2.0787308,5.745662,5.770279,5.4872894,4.2091193,5.887205,4.5150237,6.790653,5.378899,5.884331,4.8132095,6.3359833,5.2214737,5.4756947
136,10.06309,4.9784226,2.3266742,4.997285,4.783126,5.4787364,3.939929,7.0498385,4.823269,6.9480014,4.8866963,5.8616977,4.7787285,5.9298,5.9190164,5.7487044
739,5.5360327,4.3337927,2.2236302,4.804975,4.9475937,5.076605,4.685665,4.895038,5.375977,6.716825,4.770285,6.3887596,4.49482,4.920563,5.183536,4.818792
452,3.1808093,5.590238,1.9905015,3.9997838,4.224297,4.5765266,5.8749166,5.461669,5.373553,5.6907988,5.7156105,6.262857,4.583082,4.614418,4.6968694,4.150503
348,4.267224,5.1532207,2.053112,4.5173254,4.907395,4.8527617,5.4869547,4.984498,4.6385975,5.708905,5.48779,6.6557956,4.398704,5.0788107,4.590596,4.169602
479,10.186276,4.9459243,2.2693303,5.026098,4.8533316,5.5091934,3.9314935,7.080001,4.7829204,6.9842825,4.9107656,5.8651567,4.7558727,6.0194483,5.9070477,5.783965
616,5.408381,4.513324,2.328774,4.843063,5.1515765,5.1379995,4.845202,4.677436,4.6669893,6.35841,5.1591024,6.51588,4.236467,5.1744504,5.032636,4.5983896
748,10.017105,4.8278146,2.3192418,4.8900766,4.8942637,5.423046,3.975676,6.9777646,4.74686,6.84397,4.950879,5.8638144,4.591864,5.9314685,5.9327292,5.717739
118,4.723194,4.9189625,2.1134782,4.7042274,5.1457796,5.0238824,5.2734485,4.8086324,4.501146,5.9117694,5.3595777,6.701947,4.3045926,5.1536274,4.620781,4.3429117
709,8.841501,4.769265,1.9968352,5.597214,5.355079,5.650972,4.217751,6.222479,4.651649,6.8825526,5.3402715,5.774164,5.0537357,6.315327,5.367146,5.375477
184,3.1142368,5.592905,1.9869025,4.0330276,4.2155175,4.546208,5.9052258,5.425624,5.367864,5.626429,5.7481036,6.271615,4.61171,4.720137,4.687455,4.0550003
432,5.308578,4.603833,2.34726,4.8112473,4.7819066,5.0787725,4.93157,4.9107256,5.359742,6.5467324,5.1590886,6.0415626,4.5227275,5.2855124,5.3445454,4.5121593
72,3.7429585,5.323244,2.0795124,4.361132,4.6865797,4.801138,5.7933397,5.091181,5.1053777,5.6185813,5.788385,6.478395,4.5856004,5.2693915,4.5790405,3.923089
191,3.1883953,5.594559,2.0521824,3.91209,4.251116,4.6470823,5.8881035,5.450844,5.4060564,5.7299128,5.77881,6.262924,4.5156116,4.560319,4.6841993,4.2057467
254,8.059732,4.5873384,2.011799,5.5602026,5.4642935,5.534422,4.352458,5.7765007,4.764663,6.87055,5.265042,5.868956,4.968886,6.1629033,5.291339,5.275564
306,5.459965,4.566079,2.3080523,5.1278667,5.5179563,5.279403,4.94415,4.5156136,4.424611,6.2272606,5.3864965,6.658491,4.235724,5.486921,4.669615,4.57859
648,5.543385,4.6702127,2.3355517,4.715522,4.782185,5.105155,4.94445,5.084141,5.290635,6.5092063,5.2886868,6.058548,4.445812,5.2903996,5.3056383,4.5695915
603,9.012818,4.80714,2.3144171,5.876747,5.7922606,5.787117,4.3489337,5.778708,3.6620839,6.4882298,6.181833,5.9889646,4.349801,6.4180646,5.175912,4.942803
617,9.309425,5.0711184,2.8267746,5.1178412,5.076004,5.0396886,4.213053,6.1633453,3.7253416,6.281387,5.8292613,6.0137506,3.7113962,5.7027674,5.6388474,5.0800796
